Sample	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
F_3_24h_1	0.415395720961	0.455137000963	0.490559007833	0.52664882425	0.554837329694	0.589702277611	0.622669588499	0.662510048137	0.697193166721	0.730662987763	0.771118361142	0.803108752619	0.829702118923	0.853850707209	0.872089842204	0.892702676478	0.914176720589	0.938513750182	0.955728028942	0.97602679437	0.98896477784	1.01142070034	1.02779691118	1.03973813931	1.11526177886	1.13533573712	1.1567634974	1.18029882494	1.19059367112	1.15185906442	1.13719866127	1.13802846422	1.1351225009	1.13939879619	1.14493797884	1.14849356878	1.15492702114	1.15942151163	1.15689077793	1.16139849237	1.16507475086	1.1641408093	1.15877353801	1.15937357481	1.15593700043	1.14450820042	1.15312525776	1.15565929745	1.14980935195	1.14928369988	1.15303930208	1.15300458921	1.14681743294	1.14123527244	1.13038336731	1.11553617585	1.10230726545	1.0966325373	1.09670526903	1.10208080529	1.10154523525	1.11256574577	1.11833304158	1.11826692182	1.11401211545	1.11710982607	1.11308147987	1.11698915752	1.12495658825	1.13136359271	1.12961472513	1.13012550026	1.12917998773	1.12172333212	1.12117288515	1.11375259541	1.11141526199	1.11629655306	1.10581657156	1.10358007078	1.09830536716	1.08316724877	1.06241225702	1.04123409882	1.01787233564	0.994885802088	0.973952286991	0.956612380693	0.933698578872	0.911270757265	0.884612924198	0.860489130821	0.835763647655	0.822045451052	0.806409781492	0.784725807153	0.747573115641	0.707932668268	0.677691144366	0.62883194986
F_3_24h_2	0.415191617877	0.453364792306	0.486124514353	0.521314586984	0.547035943552	0.576312455557	0.607780670002	0.655268141106	0.690344153962	0.724716505746	0.762777375166	0.793505078459	0.817215473461	0.845426842648	0.863081540999	0.886151446498	0.906666413045	0.929064243256	0.946157416562	0.970989106888	0.985037761594	1.00797079536	1.0279119535	1.04136223309	1.13455959757	1.13952733945	1.16290432896	1.18620586354	1.19058751365	1.12281495032	1.12019859456	1.1249785765	1.12139534481	1.12057235967	1.1231641487	1.12516809121	1.13315227543	1.13619152974	1.13927114365	1.1455883004	1.14858368556	1.14656570493	1.14376509877	1.14409850427	1.14334220022	1.1401397527	1.15565714635	1.16103901295	1.15357423939	1.1554342911	1.15640994087	1.1566082294	1.15252137993	1.1463674164	1.1382639081	1.12071800523	1.10406001383	1.10116991462	1.10292643515	1.10478824162	1.10442325034	1.11469740389	1.12094612478	1.12353615905	1.11797004204	1.12267632382	1.12061798358	1.12410470315	1.13303470613	1.13851834914	1.13778485705	1.13684079307	1.13271182923	1.12361336874	1.12016174448	1.11390424977	1.10964192373	1.11305318837	1.10509883516	1.10889263875	1.10487597991	1.09221008063	1.0742465435	1.05421940184	1.03192861234	1.00834105094	0.985704572584	0.969460705908	0.949315994937	0.924350942414	0.898543602323	0.876400213148	0.851917721209	0.837075912378	0.819243982684	0.797342751185	0.763381014589	0.724239209458	0.697147380829	0.654741711377
F_3_24h_3	0.410974677556	0.449468873864	0.48655799471	0.522500829725	0.551619229969	0.58920614028	0.625534115156	0.666037736826	0.703811889045	0.738807858473	0.777247252271	0.806723391121	0.832874844372	0.857793241152	0.877092858377	0.900918249543	0.920307681994	0.943746411006	0.957535331406	0.976851693844	0.990355945651	1.01267579009	1.02932509704	1.0433103931	1.13214069473	1.14218934383	1.16565090722	1.18712892421	1.19739982794	1.13430843845	1.13698919456	1.14305705023	1.13829227646	1.14456107467	1.14915382946	1.14792990674	1.15732701489	1.15778979164	1.15155448385	1.15039754197	1.15289562305	1.1520355281	1.14959224954	1.15039601968	1.14889808441	1.14166415311	1.15288953388	1.15899240227	1.15505118844	1.15431592143	1.15713063923	1.15443618249	1.14752649937	1.14340565509	1.1371703473	1.11492509517	1.10039938547	1.09479735113	1.0913843726	1.08860314522	1.08746294856	1.09797132982	1.10116205373	1.10377887358	1.09920590859	1.10553255389	1.10486122315	1.10664230472	1.11476982139	1.12263398156	1.12257765675	1.12380919094	1.12460687191	1.11692843136	1.11842941122	1.11429943318	1.11016184369	1.11564209467	1.10608210128	1.10496321671	1.09924853276	1.08425091256	1.06336050026	1.04218237478	1.02245651581	1.00081256899	0.978798705236	0.962039793259	0.941152425539	0.919302969313	0.892761809324	0.868502564955	0.845863039211	0.830277814321	0.812441119651	0.791238637499	0.753263542743	0.711085399939	0.683161998868	0.6426203199
F_3_6h_1	0.399004979463	0.421555283951	0.451972482071	0.480192288141	0.504973348223	0.53483947263	0.567801503847	0.617896290251	0.676245677681	0.727555357282	0.763245145855	0.798271114944	0.836774945902	0.860488372569	0.883893474069	0.913788360152	0.915451935495	0.939451828455	0.950502064392	0.957996206703	0.969090160388	0.989370593402	1.00319575584	1.01069450002	1.08718790317	1.09705315805	1.12073667258	1.14068807202	1.15120103985	1.10095324133	1.1208126034	1.12951243517	1.12494508102	1.13588027025	1.14203526892	1.13976539745	1.14479063749	1.14486771878	1.1411459579	1.14466983845	1.162296144	1.16105479006	1.16840167259	1.18260994056	1.18645940328	1.19259484401	1.2067639961	1.22412109236	1.23298198952	1.24243997907	1.25499732683	1.24934853366	1.23614577388	1.22209396943	1.22429481289	1.19425381749	1.18847502154	1.16579011241	1.15638734527	1.13658550655	1.12597244809	1.12098057159	1.12518898003	1.1242927662	1.11676180895	1.12759460662	1.12444117645	1.11493946915	1.10942182922	1.11511894201	1.11093469338	1.10908129098	1.11350828815	1.10364993607	1.10027101437	1.08839359263	1.09224075442	1.07731459502	1.06688446082	1.05655556771	1.05788205621	1.04981843272	1.03101750032	1.00719938115	0.990154061458	0.977097410999	0.957297873209	0.943596961207	0.922919617063	0.903623983837	0.878128483722	0.850938345654	0.822556323731	0.816931690364	0.81528422156	0.792396830229	0.761071913612	0.733393977519	0.702644294424	0.633907340073
F_3_6h_2	0.366346544029	0.396735882104	0.425074519296	0.452870669685	0.472754574486	0.503038102442	0.532028395607	0.57341022941	0.620893780093	0.669183503114	0.71074000759	0.752410719815	0.793026689897	0.819773136722	0.844097707483	0.876630120355	0.894705175974	0.920746222004	0.937590185282	0.951659572098	0.957359882335	0.985011593514	0.999025555982	1.00819072775	1.07477048567	1.10090558514	1.12900740921	1.14840257203	1.15944545353	1.14792894578	1.13591529843	1.12670477947	1.12084323477	1.12782670264	1.13749573212	1.14358065374	1.15240488178	1.15618381462	1.15168268573	1.16214613086	1.17430757648	1.17512718502	1.17740294235	1.19433592049	1.19820218866	1.19814340526	1.20907711759	1.22130574423	1.22104373823	1.2283278412	1.2609929366	1.26105172	1.25666983744	1.24582849903	1.23926995116	1.21168710053	1.19809973759	1.17813185651	1.17571837807	1.14949594327	1.14410970433	1.14108655807	1.14833035243	1.15043815718	1.15039113047	1.15777768451	1.15580760086	1.14837066104	1.14392663603	1.14833707053	1.13851688374	1.13115384306	1.13557603424	1.12243542513	1.11676198731	1.10867675057	1.11303176072	1.09930331762	1.09447804028	1.08816470316	1.08171196541	1.06782228784	1.04962294732	1.02647908313	1.00990720301	0.993963465513	0.973071845289	0.951783857	0.924966870096	0.903405119117	0.880457759433	0.84806642672	0.819097967389	0.808982184078	0.792037449258	0.762261138064	0.725813750777	0.686460784024	0.652186702997	0.592459409937
F_3_6h_3	0.394338361251	0.411333876349	0.437251258691	0.471997126326	0.493829048308	0.521662706105	0.550356256034	0.592049351739	0.640983439567	0.686479904321	0.723466938782	0.762206830283	0.802966106476	0.827313504765	0.850587010617	0.881638454812	0.892062215102	0.913149026933	0.930148432946	0.940338738358	0.949083568987	0.978866575012	0.991449792922	0.997546856145	1.07713162396	1.11321012986	1.13763534644	1.15103760188	1.16604096869	1.15333129605	1.13757114635	1.12060870402	1.12562992935	1.13552841617	1.14628095874	1.15037420093	1.16101001607	1.16495734896	1.16440289363	1.17219445017	1.17644332895	1.18551305094	1.18797405445	1.19526173755	1.19969543477	1.19187469636	1.20090550922	1.21265607139	1.22047291888	1.22526847116	1.26532738272	1.26654718446	1.26212321453	1.25766617182	1.25234729152	1.22802907509	1.19853010584	1.17279754194	1.16820820813	1.13573463464	1.13308881269	1.13675405427	1.14793070655	1.1497283091	1.14583933993	1.14969134542	1.14070527808	1.13503621547	1.13289621242	1.13632021729	1.12656958523	1.11847064643	1.11554078772	1.10735430334	1.10462482673	1.09269917339	1.09358824738	1.08054784701	1.07388854662	1.0654121891	1.05903887094	1.04837776485	1.02879090061	1.00478590281	0.984483110279	0.972143074534	0.94960300609	0.935798040987	0.912977826689	0.895050437537	0.879416742559	0.849711554826	0.822395388675	0.81466219585	0.802946651903	0.779881309984	0.748643101887	0.711191103128	0.680367277439	0.611622597778
V824_24h_1	0.422935774758	0.453417056958	0.482072891245	0.521600730233	0.563128829827	0.611121637226	0.647062454255	0.687225670141	0.734337690517	0.770073438812	0.800561444577	0.828713011483	0.852030335112	0.86750798188	0.870402476639	0.886865125688	0.901401473348	0.922617682895	0.937187648381	0.95610776046	0.973915122522	0.99914530041	1.01589370097	1.03745617412	1.20318532929	1.21051065342	1.2161147449	1.2312965548	1.23594253826	1.07859766872	1.08384877304	1.0800264263	1.06180556499	1.05568712078	1.0499687287	1.04793485027	1.06511019721	1.07427105461	1.0737533401	1.08499850266	1.08827960241	1.08734502687	1.08153586666	1.08189557739	1.07762611357	1.07911538323	1.11188603934	1.12780407962	1.14896650064	1.16895229779	1.17415969892	1.18528047553	1.18383154726	1.17403531297	1.17043820566	1.15292331868	1.11033289581	1.09671767656	1.0877820586	1.08060129111	1.08368068391	1.08515314466	1.083741196	1.0864541545	1.08799721268	1.0936315602	1.10358243649	1.12781080318	1.13865927541	1.144972703	1.139237502	1.13285011519	1.12442884996	1.11841798279	1.12459693908	1.11766158172	1.12237480083	1.12558866493	1.12344048589	1.11588656055	1.10557597353	1.08695842188	1.07066050017	1.06219216998	1.0435611712	1.02373673962	1.00198600665	0.98358697086	0.96987425992	0.953055261923	0.924809565105	0.89429466508	0.863863809618	0.876443599845	0.8826292797	0.866976820241	0.829032380824	0.789017083369	0.759500632755	0.66673560562
V824_24h_2	0.44292499572	0.474740553037	0.498056471338	0.533004531458	0.569880285611	0.617478837821	0.646919200705	0.681313622509	0.735713607087	0.774689170812	0.805119198043	0.829057600875	0.848119396779	0.864814604026	0.859074550813	0.875609116891	0.889848809121	0.911787803113	0.932143334149	0.968104007355	0.995197861728	1.02692736128	1.04729436668	1.0736997589	1.18457085171	1.18432702136	1.18645838545	1.20490056541	1.20713233023	1.10141322921	1.09572194207	1.08775012404	1.07320349243	1.06846744653	1.05752663545	1.0554956721	1.06641640302	1.07512544928	1.07462631422	1.0865338409	1.08642770298	1.08369106592	1.0810118007	1.08218218636	1.08866807358	1.10715901961	1.15537431917	1.18365577076	1.20662458939	1.2229612226	1.22006968155	1.23562605765	1.23292958088	1.22257969982	1.21986027431	1.20400556461	1.14780123547	1.12359892214	1.10805402041	1.09546090017	1.09766684766	1.09790494082	1.09918720158	1.09956872436	1.10013383704	1.10048093671	1.10485267139	1.12638719387	1.13517369212	1.13852994512	1.12798499979	1.12377103768	1.10737416403	1.09465769432	1.09935644853	1.09361065813	1.09853889972	1.09947406081	1.0950765088	1.08715919402	1.07596020964	1.0601571346	1.04542691309	1.03476722406	1.02180118682	1.00911627162	0.985613894819	0.968290465855	0.955115021372	0.930390624247	0.90084699204	0.871507029887	0.840807354979	0.844103367544	0.835758632512	0.815856339061	0.776014460459	0.7410434516	0.705297922818	0.636305409155
V824_24h_3	0.456419895523	0.485156695854	0.508394686795	0.545325424331	0.583188226903	0.630027302393	0.667946253462	0.706359311296	0.761429756322	0.797944994987	0.828519722758	0.855197744897	0.875167893362	0.879412719671	0.871660483969	0.886367646727	0.898622991821	0.917039698559	0.93434092184	0.964721001492	0.988801219875	1.01565143073	1.03088264612	1.05401956977	1.22981302476	1.23339904205	1.23813797512	1.25334298788	1.25604934539	1.08855463814	1.09115992836	1.08247937086	1.06591556449	1.05954832503	1.05366770586	1.0516800491	1.06605780735	1.07376512425	1.07187104832	1.08057406522	1.08187671033	1.08489001296	1.07792011297	1.07860886785	1.07794257237	1.09378393475	1.13917437904	1.16707269516	1.19003368685	1.20803863795	1.20067569849	1.21392674358	1.20649268269	1.19564105	1.19938802631	1.18115099476	1.13063232116	1.10902637984	1.09951108135	1.08881292122	1.09034764678	1.08569106484	1.08009867462	1.08249808702	1.08648837348	1.09213316896	1.10204899338	1.11946251365	1.12553029447	1.13269858581	1.12738693808	1.12043949749	1.10214631744	1.093065234	1.10029341707	1.1017345618	1.10471791856	1.10548528135	1.09681595354	1.08781347799	1.07750087086	1.06124775284	1.04600905099	1.0395706901	1.0175492499	1.00543240444	0.979806230791	0.959136097741	0.941512956415	0.91930435457	0.892420454613	0.863897018567	0.833610519743	0.844802786642	0.842141347925	0.823754587051	0.783297723957	0.742230713871	0.703862574834	0.622802862555
V824_6h_1	0.466798688826	0.479725592022	0.496382706615	0.52615695308	0.556768205719	0.583803159252	0.629458041443	0.698054501934	0.794337881511	0.859712559975	0.885118464303	0.911605213379	0.93770631705	0.951203906273	0.96617663241	0.989221971806	0.951421804575	0.959084561506	0.945459000264	0.913561110037	0.92144176527	0.946481047059	0.961723552045	0.982493064738	1.0762187333	1.10001979935	1.11913086386	1.13069157929	1.1348645047	1.05355558061	1.08462857012	1.10165403661	1.10477551624	1.10768774433	1.10809760066	1.09471414864	1.08848848289	1.09540934799	1.09945603073	1.09389443599	1.11322858685	1.12997735708	1.14306508998	1.16256352924	1.16789512022	1.16671916113	1.20354397406	1.2517340857	1.23009470915	1.26384819364	1.26808164636	1.25255379836	1.23853394495	1.23758798963	1.24174535087	1.24199610685	1.22534072161	1.17575848194	1.15230328621	1.10357188753	1.10155200486	1.11095276015	1.1135554343	1.10763586378	1.1031084213	1.10706344841	1.10787970236	1.09844263069	1.09900812866	1.09790480234	1.08948631876	1.07077300512	1.06284738674	1.05504282298	1.04923047226	1.03961527738	1.03480422123	1.02757899025	1.020106462	1.01300920304	1.01920028176	1.01305589553	1.01526254817	0.998793932902	0.981177028172	0.966517314675	0.954375537104	0.938724905141	0.917004249069	0.90186723453	0.881026818421	0.840834957929	0.813047736451	0.80786314036	0.819346034971	0.807567421236	0.784463283885	0.757634123192	0.733967946572	0.66134555556
